snapshot_date,mpn,source,status,http_status,match_type,matched_mpn,lead_time_weeks,detail,collected_at
2026-08-15,STM32F103T8U6,digikey,ok,200.0,exact,STM32F103T8U6,40.0,,2026-08-15T20:23:05+00:00
2026-08-15,STM32F103RET7,digikey,ok,200.0,exact,STM32F103RET7,52.0,,2026-08-15T20:23:06+00:00
2026-08-15,STM32F103CBU6,digikey,ok,200.0,exact,STM32F103CBU6,40.0,,2026-08-15T20:23:07+00:00
2026-08-15,STM32F103TBU6,digikey,ok,200.0,exact,STM32F103TBU6,40.0,,2026-08-15T20:23:09+00:00
2026-08-15,STM32F103VEH6,digikey,ok,200.0,exact,STM32F103VEH6,52.0,,2026-08-15T20:23:10+00:00
2026-08-15,STM32F103C6T7A,digikey,ok,200.0,exact,STM32F103C6T7A,40.0,,2026-08-15T20:23:11+00:00
2026-08-15,STM32F103RGT6TR,digikey,ok,200.0,exact,STM32F103RGT6TR,52.0,,2026-08-15T20:23:12+00:00
2026-08-15,STM32F103RFT6,digikey,ok,200.0,exact,STM32F103RFT6,52.0,,2026-08-15T20:23:14+00:00
2026-08-15,STM32F103V8T6,digikey,ok,200.0,exact,STM32F103V8T6,52.0,,2026-08-15T20:23:15+00:00
2026-08-15,STM32F103C8T7,digikey,ok,200.0,exact,STM32F103C8T7,40.0,,2026-08-15T20:23:16+00:00
2026-08-15,STM32F103C4T6A,digikey,ok,200.0,exact,STM32F103C4T6A,40.0,,2026-08-15T20:23:18+00:00
2026-08-15,STM32F103VET7,digikey,ok,200.0,exact,STM32F103VET7,52.0,,2026-08-15T20:23:19+00:00
2026-08-15,STM32F103VGT6,digikey,ok,200.0,exact,STM32F103VGT6,52.0,,2026-08-15T20:23:20+00:00
2026-08-15,STM32F103C6T6A,digikey,ok,200.0,exact,STM32F103C6T6A,40.0,,2026-08-15T20:23:21+00:00
2026-08-15,STM32F103ZEH7,digikey,ok,200.0,exact,STM32F103ZEH7,52.0,,2026-08-15T20:23:23+00:00
2026-08-15,STM32F103RCT6TR,digikey,ok,200.0,exact,STM32F103RCT6TR,52.0,,2026-08-15T20:23:24+00:00
2026-08-15,STM32F103T8U7,digikey,ok,200.0,exact,STM32F103T8U7,40.0,,2026-08-15T20:23:25+00:00
2026-08-15,STM32F103ZGT6TR,digikey,ok,200.0,exact,STM32F103ZGT6TR,52.0,,2026-08-15T20:23:26+00:00
2026-08-15,STM32F103RBT6TR,digikey,ok,200.0,exact,STM32F103RBT6TR,52.0,,2026-08-15T20:23:28+00:00
2026-08-15,STM32F103T6U6A,digikey,ok,200.0,exact,STM32F103T6U6A,40.0,,2026-08-15T20:23:29+00:00
2026-08-15,STM32F103R8T7,digikey,ok,200.0,exact,STM32F103R8T7,52.0,,2026-08-15T20:23:30+00:00
2026-08-15,STM32F103VGT7,digikey,ok,200.0,exact,STM32F103VGT7,52.0,,2026-08-15T20:23:31+00:00
2026-08-15,STM32F103VCT6TR,digikey,ok,200.0,exact,STM32F103VCT6TR,52.0,,2026-08-15T20:23:33+00:00
2026-08-15,STM32F103C8T6TR,digikey,ok,200.0,exact,STM32F103C8T6TR,40.0,,2026-08-15T20:23:34+00:00
2026-08-15,STM32F103RCY6TR,digikey,ok,200.0,exact,STM32F103RCY6TR,52.0,,2026-08-15T20:23:35+00:00
2026-08-15,STM32F103VBT7,digikey,ok,200.0,exact,STM32F103VBT7,52.0,,2026-08-15T20:23:37+00:00
2026-08-15,STM32F103VEH7,digikey,ok,200.0,exact,STM32F103VEH7,52.0,,2026-08-15T20:23:38+00:00
2026-08-15,STM32F103REY6TR,digikey,ok,200.0,exact,STM32F103REY6TR,52.0,,2026-08-15T20:23:39+00:00
2026-08-15,STM32F103R8T6TR,digikey,ok,200.0,exact,STM32F103R8T6TR,52.0,,2026-08-15T20:23:40+00:00
2026-08-15,STM32F103VFT6TR,digikey,ok,200.0,exact,STM32F103VFT6TR,52.0,,2026-08-15T20:23:41+00:00
2026-08-15,STM32F103RFT6TR,digikey,ok,200.0,exact,STM32F103RFT6TR,52.0,,2026-08-15T20:23:43+00:00
2026-08-15,STM32F103V8H6,digikey,ok,200.0,exact,STM32F103V8H6,52.0,,2026-08-15T20:23:44+00:00
2026-08-15,STM32F103RBT7,digikey,ok,200.0,exact,STM32F103RBT7,52.0,,2026-08-15T20:23:45+00:00
2026-08-15,STM32F103VBH6,digikey,ok,200.0,exact,STM32F103VBH6,52.0,,2026-08-15T20:23:46+00:00
2026-08-15,STM32F103R6T6A,digikey,ok,200.0,exact,STM32F103R6T6A,52.0,,2026-08-15T20:23:47+00:00
