snapshot_date,mpn,manufacturer,category,source,lead_time_weeks,lifecycle_status,stock,unit_price,match_type,matched_mpn,dk_part_number,products_count,exact_match_count,collected_at,dk_manufacturer,dk_manufacturer_id,dk_category,dk_subcategory,dk_category_id,series,base_product,description,product_status_id,normally_stocking,discontinued,end_of_life,ncnr,back_order_not_allowed,date_last_buy_chance,quantity_available,manufacturer_public_quantity,lead_time_weeks_raw,moq,standard_package,packaging,variation_count,tariff_active,marketplace,qty_available_for_package,max_qty_for_distribution,digireel_fee,dk_unit_price,price_break_count,min_break_qty,unit_price_min_break,max_break_qty,unit_price_max_break,rohs_status,reach_status,moisture_sensitivity_level,export_control_class,htsus_code,package_case,mounting_type,parameter_count
2026-07-01,STM32F103RGT6,STMicroelectronics,Microcontrollers,digikey,30,Active,11,13.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RCT6,STMicroelectronics,Microcontrollers,digikey,30,Active,1944,5.49891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103C8T6,STMicroelectronics,Microcontrollers,digikey,30,Active,3996,3.74911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103CBT6,STMicroelectronics,Microcontrollers,digikey,30,Active,5421,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103VDT6,STMicroelectronics,Microcontrollers,digikey,30,Active,995,10.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103VFT6,STMicroelectronics,Microcontrollers,digikey,30,Active,48,13.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103VBT6,STMicroelectronics,Microcontrollers,digikey,30,Active,801,8.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RDT6,STMicroelectronics,Microcontrollers,digikey,30,Active,6139,5.8984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103R8T6,STMicroelectronics,Microcontrollers,digikey,30,Active,1276,4.13753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RBT6,STMicroelectronics,Microcontrollers,digikey,30,Active,471,4.70356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103VGT6TR,STMicroelectronics,Microcontrollers,digikey,30,Active,0,9.20518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103CBT6TR,STMicroelectronics,Microcontrollers,digikey,30,Active,101,4.30376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103ZFT6,STMicroelectronics,Microcontrollers,digikey,30,Active,179,14.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103ZGH6,STMicroelectronics,Microcontrollers,digikey,30,Active,37,16.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RCT7,STMicroelectronics,Microcontrollers,digikey,30,Active,5759,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103ZDT6,STMicroelectronics,Microcontrollers,digikey,30,Active,71,12.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103CBT7,STMicroelectronics,Microcontrollers,digikey,30,Active,4600,7.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103T8U6,STMicroelectronics,Microcontrollers,digikey,30,Active,125,6.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RET7,STMicroelectronics,Microcontrollers,digikey,30,Active,6110,11.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103CBU6,STMicroelectronics,Microcontrollers,digikey,30,Active,2112,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103TBU6,STMicroelectronics,Microcontrollers,digikey,30,Active,1806,4.27917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103VEH6,STMicroelectronics,Microcontrollers,digikey,30,Active,2095,12.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103C6T7A,STMicroelectronics,Microcontrollers,digikey,30,Active,1085,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RGT6TR,STMicroelectronics,Microcontrollers,digikey,30,Active,0,8.47507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103RFT6,STMicroelectronics,Microcontrollers,digikey,30,Active,4107,12.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-07-01,STM32F103V8T6,STMicroelectronics,Microcontrollers,digikey,30,Active,2697,5.06121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
