observation_date,A34SNO_20240801
2010-01-01,22392
2010-02-01,21631
2010-03-01,22797
2010-04-01,22672
2010-05-01,22218
2010-06-01,21992
2010-07-01,22231
2010-08-01,22976
2010-09-01,23547
2010-10-01,21199
2010-11-01,23319
2010-12-01,23852
2011-01-01,23892
2011-02-01,23634
2011-03-01,22813
2011-04-01,23190
2011-05-01,23217
2011-06-01,23336
2011-07-01,22682
2011-08-01,23767
2011-09-01,23688
2011-10-01,23904
2011-11-01,23401
2011-12-01,23424
2012-01-01,23148
2012-02-01,23870
2012-03-01,22943
2012-04-01,23130
2012-05-01,23581
2012-06-01,21338
2012-07-01,21541
2012-08-01,20833
2012-09-01,20847
2012-10-01,21190
2012-11-01,21341
2012-12-01,21990
2013-01-01,21088
2013-02-01,20255
2013-03-01,19541
2013-04-01,21471
2013-05-01,21848
2013-06-01,21576
2013-07-01,21023
2013-08-01,19974
2013-09-01,20882
2013-10-01,21461
2013-11-01,21832
2013-12-01,20297
2014-01-01,21461
2014-02-01,21210
2014-03-01,21508
2014-04-01,21665
2014-05-01,20862
2014-06-01,21828
2014-07-01,21171
2014-08-01,21515
2014-09-01,21324
2014-10-01,20573
2014-11-01,19892
2014-12-01,20072
2015-01-01,19537
2015-02-01,19373
2015-03-01,21270
2015-04-01,20555
2015-05-01,20141
2015-06-01,20831
2015-07-01,20733
2015-08-01,20510
2015-09-01,20458
2015-10-01,20156
2015-11-01,20098
2015-12-01,20638
2016-01-01,20814
2016-02-01,21313
2016-03-01,21080
2016-04-01,21765
2016-05-01,21619
2016-06-01,21483
2016-07-01,21525
2016-08-01,21451
2016-09-01,21204
2016-10-01,20833
2016-11-01,20864
2016-12-01,21474
2017-01-01,21147
2017-02-01,21668
2017-03-01,20989
2017-04-01,21350
2017-05-01,21282
2017-06-01,20998
2017-07-01,21795
2017-08-01,21769
2017-09-01,22571
2017-10-01,22178
2017-11-01,22711
2017-12-01,22025
2018-01-01,21622
2018-02-01,21952
2018-03-01,21576
2018-04-01,22132
2018-05-01,22443
2018-06-01,22465
2018-07-01,22598
2018-08-01,22413
2018-09-01,22060
2018-10-01,22825
2018-11-01,22891
2018-12-01,22750
2019-01-01,22451
2019-02-01,22570
2019-03-01,22731
2019-04-01,23193
2019-05-01,22901
2019-06-01,22709
2019-07-01,22546
2019-08-01,22286
2019-09-01,22111
2019-10-01,21870
2019-11-01,21601
2019-12-01,21785
2020-01-01,21770
2020-02-01,21985
2020-03-01,21563
2020-04-01,21503
2020-05-01,21509
2020-06-01,21608
2020-07-01,21789
2020-08-01,22048
2020-09-01,22000
2020-10-01,22930
2020-11-01,22720
2020-12-01,22868
2021-01-01,21737
2021-02-01,21965
2021-03-01,21807
2021-04-01,22122
2021-05-01,22045
2021-06-01,22115
2021-07-01,21971
2021-08-01,22652
2021-09-01,22247
2021-10-01,22310
2021-11-01,23259
2021-12-01,23168
2022-01-01,23421
2022-02-01,23396
2022-03-01,23465
2022-04-01,23680
2022-05-01,23812
2022-06-01,23818
2022-07-01,24245
2022-08-01,24274
2022-09-01,23929
2022-10-01,23767
2022-11-01,23834
2022-12-01,23856
2023-01-01,23744
2023-02-01,23970
2023-03-01,24378
2023-04-01,24107
2023-05-01,24126
2023-06-01,24638
2023-07-01,24417
2023-08-01,24431
2023-09-01,24750
2023-10-01,24698
2023-11-01,24711
2023-12-01,24972
2024-01-01,24978
2024-02-01,24678
2024-03-01,24765
2024-04-01,24908
2024-05-01,25043
2024-06-01,25232
